Protocol,Packet_Count,Total_Bytes,Avg_PIAT,Label
89,182,102648,11.052745481880988,0
17,2,146,5005.165100097656,0
89,183,103212,11.041028159005302,0
89,182,102648,11.051629788309171,0
89,182,102648,11.059641179458872,0
17,2,158,5005.574941635132,0
89,178,100392,11.335293451944986,0
89,182,102648,11.052413539991853,0
17,2,146,5004.985094070435,0
89,182,102648,11.054647561594926,0
89,183,103212,11.04627467773773,0
89,182,102648,11.04995032041771,0
17,2,134,5005.774974822998,0
89,182,102648,11.054232634233506,0
89,2,152,9998.764038085938,0
89,182,102648,11.084181169119988,0
17,2,146,5001.671075820923,0
89,182,102648,11.059082674058104,0
89,182,102648,11.07358010434314,0
89,182,102648,11.055005848078437,0
17,2,158,5000.463962554932,0
89,182,102648,11.057652162583494,0
89,182,102648,11.104409865911494,0
17,2,146,5005.285978317261,0
89,182,102648,11.062723497000848,0
89,182,102648,11.051181930204782,0
89,179,100956,11.239196477311381,0
17,2,134,5000.802993774414,0
89,181,102084,11.157288816240099,0
89,2,152,9999.059915542603,0
89,182,102648,11.054149648761223,0
17,2,146,5005.147218704224,0
89,182,102648,11.057309682856607,0
89,183,103212,11.042346011151324,0
17,2,158,5001.040935516357,0
89,183,103212,11.04619738819835,0
89,182,102648,11.056795963266278,0
89,182,102648,11.070326546937721,0
17,2,146,5000.280857086182,0
89,182,102648,11.05435908828651,0
89,183,103212,11.040878819895315,0
17,2,134,5005.362033843994,0
89,182,102648,11.054281371733103,0
89,182,102648,11.054121986937128,0
89,2,152,9997.836112976074,0
17,2,146,5005.249977111816,0
17,2,158,5005.541086196899,0
17,2,612,0.0591278076171875,0
17,2,656,0.04887580871582031,0
17,8,488,6.7278657640729636,0
17,3,201,1.031041145324707,0
17,3,594,505.4420232772827,0
89,120,67680,11.032645441904789,0
17,3,213,2502.5789737701416,0
89,2,152,10016.336917877197,0
17,2,158,5005.660057067871,0
17,2,146,5005.157947540283,0
17,2,134,5005.1589012146,0
17,3,216,2502.5789737701416,0
89,2,152,10016.337871551514,0
17,3,219,2209.825038909912,0
17,3,225,2502.5789737701416,0
6,130,5980,15.55331732875617,0
6,207,9522,9.783538799841427,0
6,128,5888,15.798251459917685,0
6,650,29900,3.552238819962841,0
17,2,134,5005.157947540283,0
6,37,1702,55.73272705078125,0
6,133,6118,24.280204917445328,0
6,47,2162,43.61691163933796,0
6,123,5658,16.40871313751721,0
6,100,4600,20.73775879060379,0
17,2,146,5005.660057067871,0
6,24,1104,90.74587407319441,0
6,17,782,130.25912642478943,0
6,10,460,249.466339747111,0
6,8,368,319.9540206364223,0
17,2,158,5005.660057067871,0
6,7,322,374.0321397781372,0
6,6,276,447.9356288909912,0
6,5,230,641.0727500915527,0
6,5,230,637.6862525939941,0
17,2,146,5005.659818649292,0
6,5,230,640.9472227096558,0
89,2,152,10000.783920288086,0
6,5,230,731.0059666633606,0
17,2,134,5005.157947540283,0
17,2,146,5005.660057067871,0
17,2,158,5005.660057067871,0
17,2,146,5006.16192817688,0
